Food,11.0,2025-01-02,McDonald's Breakfast,expense
Food,9.5,2025-01-03,Subway Sandwich,expense
Medical,250.0,2025-01-04,Pharmacy Purchase,expense
Entertainment,60.0,2025-01-05,Cinema Ticket,expense
Transportation,15.0,2025-01-06,Bus Fare,expense
Clothing,80.0,2025-01-07,T-Shirt,expense
Education,1200.0,2025-01-08,Online Course Fee,expense
Home,300.0,2025-01-09,Groceries,expense
Travel,5000.0,2025-01-10,Weekend Getaway,expense
Salary,5000.0,2025-01-11,Monthly Salary,income
Sports,70.0,2025-01-12,Gym Membership,expense
Food,14.0,2025-01-13,Italian Restaurant,expense
Medical,300.0,2025-01-14,Clinic Consultation,expense
Entertainment,90.0,2025-01-15,Concert Ticket,expense
Transportation,20.0,2025-01-16,Train Ticket,expense
Clothing,150.0,2025-01-17,Shoes,expense
Education,500.0,2025-01-18,Textbooks,expense
Home,400.0,2025-01-19,Furniture Purchase,expense
Travel,3500.0,2025-01-20,Flight Ticket,expense
Communication,75.0,2025-01-21,Internet Bill,expense
Sports,45.0,2025-01-22,Sports Drink,expense
Food,22.0,2025-01-23,Salad Bar,expense
Medical,600.0,2025-01-24,Hospital Bill,expense
Entertainment,110.0,2025-01-25,Theater Play,expense
Transportation,18.0,2025-01-26,Taxi Ride,expense
Clothing,95.0,2025-01-27,Jeans,expense
Education,1300.0,2025-01-28,Seminar Fee,expense
Home,250.0,2025-01-29,Home Repair,expense
Travel,2800.0,2025-01-30,Train Journey,expense
Communication,60.0,2025-01-31,Landline Bill,expense
Food,13.0,2025-02-01,Pizza,expense
Food,8.0,2025-02-02,Sandwich,expense
Medical,100.0,2025-02-03,Medicine Purchase,expense
Entertainment,75.0,2025-02-04,Art Exhibition,expense
Transportation,12.0,2025-02-05,Metro Ride,expense
Clothing,200.0,2025-02-06,Winter Coat,expense
Education,700.0,2025-02-07,Workshop Fee,expense
Home,320.0,2025-02-08,Utility Bill,expense
Travel,4500.0,2025-02-09,Train Ticket,expense
Communication,55.0,2025-02-10,Mobile Accessories,expense
Sports,80.0,2025-02-11,Sports Equipment,expense
Food,16.0,2025-02-12,Burger,expense
Medical,220.0,2025-02-13,Doctor Visit,expense
Entertainment,85.0,2025-02-14,Stand-up Comedy,expense
Transportation,25.0,2025-02-15,Rental Bike,expense
Clothing,110.0,2025-02-16,Skirt,expense
Education,900.0,2025-02-17,Tuition Installment,expense
Home,500.0,2025-02-18,Appliance Repair,expense
Travel,3200.0,2025-02-19,Bus Ticket,expense
Freelance,2000.0,2025-02-10,Project Payment,income
Sports,95.0,2025-02-21,Sports Club Fee,expense
Food,20.0,2025-02-22,Salad,expense
Medical,450.0,2025-02-23,Surgery Fee,expense
Entertainment,130.0,2025-02-24,Concert,expense
Transportation,30.0,2025-02-25,Uber Ride,expense
Clothing,85.0,2025-02-26,T-Shirt,expense
Education,800.0,2025-02-27,Online Subscription,expense
Home,280.0,2025-02-28,Plumbing Service,expense
Travel,4000.0,2025-03-01,International Flight,expense
Communication,70.0,2025-03-02,Streaming Service,expense
Sports,60.0,2025-03-03,Fitness Class,expense
Food,17.0,2025-03-04,Vegan Cafe,expense
Medical,350.0,2025-03-05,Specialist Consultation,expense
Entertainment,100.0,2025-03-06,Music Festival,expense
Transportation,22.0,2025-03-07,Car Rental,expense
Clothing,130.0,2025-03-08,Blouse,expense
Education,1100.0,2025-03-09,College Fee,expense
Home,360.0,2025-03-10,Garden Supplies,expense
Travel,3300.0,2025-03-11,Train Ticket,expense
Communication,85.0,2025-03-12,Mobile Phone Bill,expense
Sports,75.0,2025-03-13,Swimming Pool Fee,expense
Food,19.0,2025-03-14,Pasta,expense
Medical,500.0,2025-03-15,Medical Test,expense
Entertainment,140.0,2025-03-16,Live Show,expense
Transportation,28.0,2025-03-17,Taxi,expense
Clothing,160.0,2025-03-18,Winter Hat,expense
Education,950.0,2025-03-19,Seminar,expense
Home,410.0,2025-03-20,Electricity Bill,expense
Travel,2900.0,2025-03-21,Bus Fare,expense
Communication,90.0,2025-03-22,Phone Accessories,expense
Sports,85.0,2025-03-23,Yoga Class,expense
Food,23.0,2025-03-24,Sandwich,expense
Medical,750.0,2025-03-25,Medical Procedure,expense
Entertainment,115.0,2025-03-26,Opera Ticket,expense
Transportation,33.0,2025-03-27,Train Ticket,expense
Clothing,140.0,2025-03-28,Jeans,expense
Education,1050.0,2025-03-29,Language Course,expense
Home,390.0,2025-03-30,Internet Bill,expense
Travel,3100.0,2025-03-31,Flight Ticket,expense
Communication,95.0,2025-04-01,Mobile Recharge,expense
Sports,70.0,2025-04-02,Fitness Equipment,expense
Food,24.0,2025-04-03,Salad,expense
Medical,400.0,2025-04-04,Pharmacy,expense
Entertainment,80.0,2025-04-05,Movie,expense
Transportation,20.0,2025-04-06,Bus Ticket,expense
Clothing,100.0,2025-04-07,Socks,expense
Education,750.0,2025-04-08,Workshop,expense
Home,350.0,2025-04-09,Home Maintenance,expense
Travel,2700.0,2025-04-10,Train Journey,expense
Investment,1500.0,2025-04-11,Stock Dividend,income
