date,company,category,price,change
2025-01-01,Amazon,E-commerce,31121.0,
2025-01-02,Amazon,E-commerce,29559.2,-0.05
2025-01-03,Amazon,E-commerce,34888.3,0.18
2025-01-04,Amazon,E-commerce,38125.9,0.093
2025-01-05,Amazon,E-commerce,39630.5,0.039
2025-01-06,Amazon,E-commerce,34177.6,-0.138
2025-01-07,Amazon,E-commerce,29474.7,-0.138
2025-01-08,Amazon,E-commerce,24264.6,-0.177
2025-01-09,Amazon,E-commerce,27818.6,0.146
2025-01-10,Amazon,E-commerce,28943.7,0.04
2025-01-11,Amazon,E-commerce,31352.7,0.083
2025-01-12,Amazon,E-commerce,25340.3,-0.192
2025-01-13,Amazon,E-commerce,30103.4,0.188
2025-01-14,Amazon,E-commerce,34106.4,0.133
2025-01-15,Amazon,E-commerce,30182.0,-0.115
2025-01-16,Amazon,E-commerce,26340.7,-0.127
2025-01-17,Amazon,E-commerce,23005.0,-0.127
2025-01-18,Amazon,E-commerce,21203.6,-0.078
2025-01-19,Amazon,E-commerce,21413.6,0.01
2025-01-20,Amazon,E-commerce,20830.7,-0.027
2025-01-21,Amazon,E-commerce,19091.1,-0.084
2025-01-22,Amazon,E-commerce,19945.3,0.045
2025-01-23,Amazon,E-commerce,17069.1,-0.144
2025-01-24,Amazon,E-commerce,15650.0,-0.083
2025-01-25,Amazon,E-commerce,14813.4,-0.053
2025-01-26,Amazon,E-commerce,14553.1,-0.018
2025-01-27,Amazon,E-commerce,16213.2,0.114
2025-01-28,Amazon,E-commerce,14265.5,-0.12
2025-01-29,Amazon,E-commerce,14346.7,0.006
2025-01-30,Amazon,E-commerce,14877.0,0.037
2025-01-31,Amazon,E-commerce,12178.1,-0.181
2025-02-01,Amazon,E-commerce,12701.9,0.043
2025-02-02,Amazon,E-commerce,11027.9,-0.132
2025-02-03,Amazon,E-commerce,9109.3,-0.174
2025-02-04,Amazon,E-commerce,10744.9,0.18
2025-02-05,Amazon,E-commerce,12746.2,0.186
2025-02-06,Amazon,E-commerce,14318.5,0.123
2025-02-07,Amazon,E-commerce,13199.5,-0.078
2025-02-08,Amazon,E-commerce,11075.3,-0.161
2025-02-09,Amazon,E-commerce,11891.5,0.074
2025-02-10,Amazon,E-commerce,11606.8,-0.024
2025-02-11,Amazon,E-commerce,9852.0,-0.151
2025-02-12,Amazon,E-commerce,9833.0,-0.002
2025-02-13,Amazon,E-commerce,8001.7,-0.186
2025-02-14,Amazon,E-commerce,9311.8,0.164
2025-02-15,Amazon,E-commerce,8413.3,-0.096
2025-02-16,Amazon,E-commerce,8960.2,0.065
2025-02-17,Amazon,E-commerce,8285.4,-0.075
2025-02-18,Amazon,E-commerce,8351.9,0.008
2025-02-19,Amazon,E-commerce,8507.9,0.019
2025-02-20,Amazon,E-commerce,7435.4,-0.126
2025-02-21,Amazon,E-commerce,8832.1,0.188
2025-02-22,Amazon,E-commerce,9804.1,0.11
2025-02-23,Amazon,E-commerce,11527.6,0.176
2025-02-24,Amazon,E-commerce,13348.2,0.158
2025-02-25,Amazon,E-commerce,13870.9,0.039
2025-02-26,Amazon,E-commerce,16211.6,0.169
2025-02-27,Amazon,E-commerce,13543.1,-0.165
2025-02-28,Amazon,E-commerce,11896.2,-0.122
2025-03-01,Amazon,E-commerce,9732.2,-0.182
2025-03-02,Amazon,E-commerce,9052.2,-0.07
2025-03-03,Amazon,E-commerce,8649.1,-0.045
2025-03-04,Amazon,E-commerce,7858.1,-0.091
2025-03-05,Amazon,E-commerce,8891.4,0.131
2025-03-06,Amazon,E-commerce,8381.9,-0.057
2025-03-07,Amazon,E-commerce,7647.4,-0.088
2025-03-08,Amazon,E-commerce,7778.0,0.017
2025-03-09,Amazon,E-commerce,6660.9,-0.144
2025-03-10,Amazon,E-commerce,7466.0,0.121
2025-03-11,Amazon,E-commerce,6195.5,-0.17
2025-03-12,Amazon,E-commerce,7402.1,0.195
2025-03-13,Amazon,E-commerce,8208.1,0.109
2025-03-14,Amazon,E-commerce,7218.9,-0.121
2025-03-15,Amazon,E-commerce,5791.1,-0.198
2025-03-16,Amazon,E-commerce,6521.8,0.126
2025-03-17,Amazon,E-commerce,7061.5,0.083
2025-03-18,Amazon,E-commerce,7708.3,0.092
2025-03-19,Amazon,E-commerce,8544.7,0.109
2025-03-20,Amazon,E-commerce,7088.9,-0.17
2025-03-21,Amazon,E-commerce,6687.5,-0.057
2025-03-22,Amazon,E-commerce,5660.0,-0.154
2025-03-23,Amazon,E-commerce,6482.0,0.145
2025-03-24,Amazon,E-commerce,6801.7,0.049
2025-03-25,Amazon,E-commerce,6341.7,-0.068
2025-03-26,Amazon,E-commerce,5234.6,-0.175
2025-03-27,Amazon,E-commerce,4838.8,-0.076
2025-03-28,Amazon,E-commerce,4500.4,-0.07
2025-03-29,Amazon,E-commerce,4913.8,0.092
2025-03-30,Amazon,E-commerce,5184.1,0.055
2025-03-31,Amazon,E-commerce,5987.1,0.155
2025-04-01,Amazon,E-commerce,5920.5,-0.011
2025-04-02,Amazon,E-commerce,5019.6,-0.152
2025-04-03,Amazon,E-commerce,5447.8,0.085
2025-04-04,Amazon,E-commerce,6016.1,0.104
2025-04-05,Amazon,E-commerce,6163.6,0.025
2025-04-06,Amazon,E-commerce,6831.6,0.108
2025-04-07,Amazon,E-commerce,6814.7,-0.002
2025-04-08,Amazon,E-commerce,6876.6,0.009
2025-04-09,Amazon,E-commerce,6677.3,-0.029
2025-04-10,Amazon,E-commerce,5409.7,-0.19
2025-04-11,Amazon,E-commerce,4561.3,-0.157
2025-04-12,Amazon,E-commerce,3706.3,-0.187
2025-04-13,Amazon,E-commerce,3908.6,0.055
2025-04-14,Amazon,E-commerce,3618.3,-0.074
2025-04-15,Amazon,E-commerce,3630.7,0.003
2025-04-16,Amazon,E-commerce,4222.7,0.163
2025-04-17,Amazon,E-commerce,3799.2,-0.1
2025-04-18,Amazon,E-commerce,3663.0,-0.036
2025-04-19,Amazon,E-commerce,4037.4,0.102
2025-04-20,Amazon,E-commerce,3599.5,-0.108
2025-04-21,Amazon,E-commerce,2990.4,-0.169
2025-04-22,Amazon,E-commerce,2738.9,-0.084
2025-04-23,Amazon,E-commerce,2367.8,-0.136
2025-04-24,Amazon,E-commerce,2774.7,0.172
2025-04-25,Amazon,E-commerce,3116.7,0.123
2025-04-26,Amazon,E-commerce,3283.0,0.053
2025-04-27,Amazon,E-commerce,3770.8,0.149
2025-04-28,Amazon,E-commerce,4228.9,0.121
2025-04-29,Amazon,E-commerce,3698.7,-0.125
2025-04-30,Amazon,E-commerce,4279.5,0.157
2025-05-01,Amazon,E-commerce,4346.8,0.016
2025-05-02,Amazon,E-commerce,4881.3,0.123
2025-05-03,Amazon,E-commerce,5654.7,0.158
2025-05-04,Amazon,E-commerce,5243.1,-0.073
2025-05-05,Amazon,E-commerce,4425.3,-0.156
2025-05-06,Amazon,E-commerce,3943.7,-0.109
2025-05-07,Amazon,E-commerce,3828.7,-0.029
2025-05-08,Amazon,E-commerce,4315.7,0.127
2025-05-09,Amazon,E-commerce,4938.5,0.144
2025-05-10,Amazon,E-commerce,3964.5,-0.197
2025-05-11,Amazon,E-commerce,3981.5,0.004
2025-05-12,Amazon,E-commerce,3850.0,-0.033
2025-05-13,Amazon,E-commerce,3422.1,-0.111
2025-05-14,Amazon,E-commerce,2901.7,-0.152
2025-05-15,Amazon,E-commerce,2713.2,-0.065
2025-05-16,Amazon,E-commerce,3193.9,0.177
2025-05-17,Amazon,E-commerce,2968.1,-0.071
2025-05-18,Amazon,E-commerce,2990.4,0.008
2025-05-19,Amazon,E-commerce,3233.2,0.081
2025-05-20,Amazon,E-commerce,3056.8,-0.055
2025-05-21,Amazon,E-commerce,3633.7,0.189
