serialNo,name,date,amount,category
1,Cafe,2020-05-25,3715.63,Food
2,Online Course,2020-05-24,9260.64,Education
3,Stationery,2020-05-11,5274.41,Education
4,Movie,2020-05-15,2315.50,Entertainment
5,Cruise,2020-05-01,8915.19,Travel
6,Medicine,2020-05-07,3584.06,Medical
7,Metro,2020-05-16,4746.50,Transportation
8,Insurance,2020-05-04,3670.03,Medical
9,Dress,2020-05-06,6256.70,Clothing
10,Taxi,2020-05-12,6094.81,Travel
11,Train,2020-05-20,2944.22,Transportation
12,Roaming,2020-05-15,4482.79,Communication
13,Phone Bill,2020-05-27,3237.85,Communication
14,Workshop,2020-05-28,941.16,Education
15,Jacket,2020-05-16,1026.50,Clothing
16,Mortgage,2020-05-24,1471.35,Home
17,Delivery,2020-05-04,3441.00,Food
18,Hospital Bill,2020-05-19,6155.77,Medical
19,Amusement Park,2020-05-11,2158.04,Entertainment
20,Bicycle,2020-05-14,5616.37,Transportation
21,Calling Card,2020-05-09,338.36,Communication
22,Belt,2020-05-28,9828.37,Clothing
23,Vegetables,2020-05-11,3745.69,Food
24,Accessories,2020-05-01,4319.36,Others
25,Notebook,2020-05-21,7439.08,Education
26,Water Bill,2020-05-25,8845.64,Home
27,Fitness Class,2020-05-09,1717.97,Sports
28,Running,2020-05-14,7283.09,Sports
29,Bus,2020-05-04,651.92,Transportation
30,Meat,2020-05-27,4689.45,Food
31,Storage,2020-05-13,857.34,Others
32,Jacket,2020-05-11,1020.73,Clothing
33,Fitness Class,2020-05-26,7875.78,Sports
34,Donation,2020-05-10,1313.34,Others
35,Online Course,2020-05-20,6834.47,Education
36,Fuel,2020-05-11,9162.74,Travel
37,Stationery,2020-05-15,113.36,Education
38,Taxi,2020-05-04,1302.95,Travel
39,Dress,2020-05-12,9875.04,Clothing
40,Train,2020-05-15,1354.22,Transportation
41,Mobile Recharge,2020-05-27,6990.39,Communication
42,Fruits,2020-05-12,1676.95,Food
43,Basketball,2020-05-27,704.92,Sports
44,Furniture,2020-05-18,5620.23,Home
45,Game,2020-05-02,3901.97,Entertainment
46,Travel Insurance,2020-05-23,5538.33,Travel
47,Fast Food,2020-05-27,1410.76,Food
48,Fuel,2020-05-13,9506.35,Travel
49,Taxi,2020-05-10,4450.76,Travel
50,Bank Fee,2020-05-22,2340.10,Others
51,Backpack,2020-05-18,1770.21,Education
52,Security,2020-05-22,8698.32,Others
53,Parking,2020-05-24,9957.98,Transportation
54,Train,2020-05-28,1287.77,Transportation
55,Bus,2020-05-26,9836.58,Transportation
56,Fitness Class,2020-05-17,9854.93,Sports
57,Hat,2020-05-20,690.89,Clothing
58,Toll,2020-05-22,6137.04,Travel
59,Snacks,2020-05-12,6296.92,Food
60,Train,2020-05-20,795.12,Travel
61,Internet,2020-05-19,7825.46,Home
62,Notebook,2020-05-08,1883.54,Education
63,Notebook,2020-05-10,3176.25,Education
64,Bus,2020-05-02,4194.63,Transportation
65,Online Course,2020-05-03,675.13,Education
66,Jeans,2020-05-11,4578.89,Clothing
67,Game,2020-05-15,9265.66,Entertainment
68,Scarf,2020-05-03,7370.69,Clothing
69,Notebook,2020-05-07,8219.39,Education
70,Notebook,2020-05-18,4439.84,Education
71,Shoes,2020-05-09,5016.12,Clothing
72,Train,2020-05-08,2272.07,Transportation
73,Train,2020-05-03,5121.06,Transportation
74,Online Course,2020-05-07,8699.84,Education
75,Scarf,2020-05-08,3365.20,Clothing
76,Jeans,2020-05-27,8774.19,Clothing
77,Therapy,2020-05-24,7338.94,Medical
78,Fuel,2020-05-10,3460.47,Transportation
79,Internet,2020-05-24,4473.31,Communication
80,Gift,2020-05-19,2914.46,Others
81,Bus,2020-05-16,2387.45,Transportation
82,Eye Exam,2020-05-07,3935.36,Medical
83,SIM Card,2020-05-02,9413.62,Communication
84,Fast Food,2020-05-02,2062.34,Food
85,Metro,2020-05-19,7015.60,Transportation
86,Backpack,2020-05-02,7358.65,Education
87,Scarf,2020-05-03,6276.87,Clothing
88,Fuel,2020-05-19,6315.71,Transportation
89,Vaccination,2020-05-22,1243.42,Medical
90,Scarf,2020-05-23,8035.54,Clothing
91,Fast Food,2020-05-01,7027.04,Food
