date,income,expense
2025-01-01,6138,3938
2025-01-02,5191,4918
2025-01-03,6367,2364
2025-01-04,4747,5909
2025-01-05,6098,5309
2025-01-06,5020,3253
2025-01-07,5437,2152
2025-01-08,3218,4447
2025-01-09,4449,5670
2025-01-10,4300,4265
2025-01-11,6897,5074
2025-01-12,3681,4308
2025-01-13,3236,5137
2025-01-14,6416,3682
2025-01-15,6579,4246
2025-01-16,5628,4004
2025-01-17,5494,4353
2025-01-18,6601,2954
2025-01-19,4372,4240
2025-01-20,3541,2531
2025-01-21,5870,4993
2025-01-22,4560,4366
2025-01-23,3454,2164
2025-01-24,5528,2174
2025-01-25,5172,4577
2025-01-26,6308,2464
2025-01-27,5731,5634
2025-01-28,3758,3087
2025-01-29,3082,3655
2025-01-30,5183,5152
2025-01-31,3020,5956
2025-02-01,3190,2558
2025-02-02,5942,5658
2025-02-03,3362,4096
2025-02-04,3149,5530
2025-02-05,3419,4967
2025-02-06,6122,3584
2025-02-07,4121,4516
2025-02-08,3967,3206
2025-02-09,5544,4650
2025-02-10,4920,4991
2025-02-11,6501,2082
2025-02-12,3880,5107
2025-02-13,3280,5303
2025-02-14,3104,4541
2025-02-15,4674,3670
2025-02-16,6321,5735
2025-02-17,5315,4650
2025-02-18,3852,4881
2025-02-19,5801,5727
2025-02-20,5680,3591
2025-02-21,3433,4146
2025-02-22,4924,4898
2025-02-23,4171,2288
2025-02-24,3257,2083
2025-02-25,3341,4245
2025-02-26,4828,3240
2025-02-27,3657,3964
2025-02-28,6858,5599
2025-03-01,4313,2443
2025-03-02,3707,2381
2025-03-03,5768,5681
2025-03-04,5088,4900
2025-03-05,4588,2129
2025-03-06,6791,2245
2025-03-07,3678,3999
2025-03-08,6623,5357
2025-03-09,5493,3873
2025-03-10,3913,2495
2025-03-11,6065,2313
2025-03-12,4739,2248
2025-03-13,4705,3855
2025-03-14,6263,3256
2025-03-15,5517,4450
2025-03-16,6562,3091
2025-03-17,4904,4971
2025-03-18,3346,2583
2025-03-19,4567,4754
2025-03-20,5169,4321
2025-03-21,3744,2109
2025-03-22,4554,2411
2025-03-23,5298,3694
2025-03-24,6103,4315
2025-03-25,5453,5696
2025-03-26,4576,5560
2025-03-27,6494,2434
2025-03-28,5094,3371
2025-03-29,3708,4430
2025-03-30,5439,2790
2025-03-31,4676,5324
2025-04-01,4118,5957
2025-04-02,6462,5115
2025-04-03,5193,4324
2025-04-04,4600,4171
2025-04-05,6069,4424
2025-04-06,6617,5951
2025-04-07,4299,2658
2025-04-08,4401,4130
2025-04-09,5640,3596
2025-04-10,3612,5326
2025-04-11,5360,2999
2025-04-12,4271,3491
2025-04-13,5867,5989
2025-04-14,6310,4280
2025-04-15,4121,4564
2025-04-16,4708,2047
2025-04-17,3409,3308
2025-04-18,4099,3699
2025-04-19,3262,5768
2025-04-20,3369,4888
2025-04-21,4649,5855
2025-04-22,6639,3688
2025-04-23,6534,4127
2025-04-24,4202,5800
2025-04-25,4618,2246
2025-04-26,5283,5041
2025-04-27,3889,5315
2025-04-28,3250,4650
2025-04-29,6027,3347
2025-04-30,4086,3176
2025-05-01,6856,3104
2025-05-02,5783,5603
2025-05-03,5544,4399
2025-05-04,6067,4380
2025-05-05,5084,5411
2025-05-06,5609,2992
2025-05-07,6186,4153
2025-05-08,3494,4472
2025-05-09,5077,3061
2025-05-10,5332,5575
2025-05-11,6886,4676
2025-05-12,6092,5660
2025-05-13,5872,2149
2025-05-14,4212,2645
2025-05-15,6712,2129
2025-05-16,4091,3449
2025-05-17,6715,5821
2025-05-18,6197,4614
2025-05-19,3741,3946
2025-05-20,4253,4268
2025-05-21,3722,2316
2025-05-22,6633,5209
2025-05-23,4025,3760
2025-05-24,6337,3975
2025-05-25,4291,4832
2025-05-26,4609,3835
2025-05-27,5131,4171
2025-05-28,6409,4074
2025-05-29,3472,5005
2025-05-30,4704,4934
2025-05-31,6034,5030
2025-06-01,5320,5280
2025-06-02,6577,2938
2025-06-03,5067,2977
2025-06-04,6623,5482
2025-06-05,6824,5182
2025-06-06,5092,3704
2025-06-07,5806,4584
2025-06-08,4542,2868
2025-06-09,4387,5608
2025-06-10,3875,5199
2025-06-11,3220,2515
2025-06-12,3806,3416
2025-06-13,6375,2003
2025-06-14,3196,3838
2025-06-15,6650,4570
2025-06-16,4990,5851
2025-06-17,4148,3429
2025-06-18,6733,2106
2025-06-19,4955,4307
2025-06-20,5163,5097
2025-06-21,6950,5552
2025-06-22,5267,3303
2025-06-23,3388,2457
2025-06-24,3746,4388
2025-06-25,4184,4266
2025-06-26,4026,2322
2025-06-27,4544,4205
2025-06-28,4296,5642
2025-06-29,5491,4437
2025-06-30,3586,4628
