serialNo,name,date,amount,category
1,Gym,2020-05-10,8288.63,Sports
2,Insurance,2020-05-10,4567.43,Medical
3,Amusement Park,2020-05-03,4358.72,Entertainment
4,Swimming,2020-05-23,1395.85,Sports
5,Eye Exam,2020-05-09,392.3,Medical
6,Basketball,2020-05-07,6452.38,Sports
7,Seminar,2020-05-25,3005.53,Education
8,Internet,2020-05-01,2745.36,Home
9,Bar,2020-05-11,9441.76,Entertainment
10,Cleaning,2020-05-28,8910.31,Home
11,Doctor Visit,2020-05-14,6954.04,Medical
12,Mobile Recharge,2020-05-16,3604.3,Communication
13,Roaming,2020-05-09,3296.09,Communication
14,Storage,2020-05-15,7478.91,Others
15,Lottery,2020-05-22,941.82,Others
16,Calling Card,2020-05-28,4571.58,Communication
17,Therapy,2020-05-02,1962.74,Medical
18,Basketball,2020-05-21,5561.22,Sports
19,Hat,2020-05-09,2715.62,Clothing
20,Tennis,2020-05-14,6818.65,Sports
21,Concert,2020-05-27,4663.08,Entertainment
22,Tuition,2020-05-09,5667.9,Education
23,Jacket,2020-05-16,9436.53,Clothing
24,Rent,2020-05-18,1001.74,Home
25,Football,2020-05-09,625.57,Sports
26,Storage,2020-05-05,8470.64,Others
27,Swimming,2020-05-08,9456.45,Sports
28,Sweater,2020-05-28,8698.89,Clothing
29,Eye Exam,2020-05-07,9475.84,Medical
30,Tips,2020-05-27,3453.26,Others
31,Insurance,2020-05-05,7422.68,Medical
32,Gift,2020-05-12,223.2,Others
33,Movie,2020-05-23,8598.19,Entertainment
34,Flight,2020-05-11,4106.79,Travel
35,Jacket,2020-05-02,5382.64,Clothing
36,Fuel,2020-05-15,4889.17,Transportation
37,Laundry,2020-05-12,4197.24,Others
38,Shoes,2020-05-16,7981.87,Clothing
39,Theater,2020-05-20,865.32,Entertainment
40,Repair,2020-05-01,4697.96,Home
41,Decor,2020-05-13,164.24,Home
42,Insurance,2020-05-06,4974.25,Medical
43,Dental,2020-05-05,5756.73,Medical
44,Vaccine,2020-05-25,4829.85,Medical
45,Fuel,2020-05-20,7170.47,Transportation
46,Mobile Recharge,2020-05-17,2590.49,Communication
47,SIM Card,2020-05-07,8877.75,Communication
48,Rent,2020-05-17,4738.23,Home
49,Tour Package,2020-05-18,7512.84,Travel
50,Internet,2020-05-12,8756.46,Home
51,Equipment,2020-05-06,1682.54,Sports
52,Eye Exam,2020-05-28,1089.4,Medical
53,Insurance,2020-05-24,924.78,Medical
54,Repair,2020-05-19,1875.95,Home
55,Dinner,2020-05-15,4487.24,Food
56,Rental Car,2020-05-06,6632.1,Travel
57,Gift,2020-05-17,1149.58,Others
58,Gym,2020-05-09,5552.93,Sports
59,Appliance,2020-05-04,9086.03,Home
60,Doctor Visit,2020-05-05,2210.86,Medical
61,Utilities,2020-05-19,5040.9,Home
62,Football,2020-05-15,3494.03,Sports
63,Theater,2020-05-12,5807.77,Entertainment
64,Hospital,2020-05-13,3212.34,Medical
65,Travel Guide,2020-05-06,5633.84,Travel
66,Cleaning,2020-05-14,5513.24,Home
67,Internet,2020-05-15,4531.5,Home
68,Utilities,2020-05-21,9451.47,Home
69,Shoes,2020-05-22,7713.26,Clothing
70,Gym,2020-05-08,9831.5,Sports
71,Messenger App,2020-05-20,4145.17,Communication
72,Storage,2020-05-05,7900.6,Others
73,Bakery,2020-05-12,7838.35,Food
74,Yoga,2020-05-01,4220.14,Sports
75,Suit,2020-05-09,367.14,Clothing
76,Hospital,2020-05-18,5137.26,Medical
77,Pants,2020-05-21,4535.55,Clothing
78,Concert,2020-05-03,5239.86,Entertainment
79,Tuition,2020-05-14,258.0,Education
80,Theater,2020-05-23,557.1,Entertainment
81,Rent,2020-05-14,4485.83,Home
82,Seminar,2020-05-20,6322.45,Education
83,Taxi,2020-05-23,3740.08,Transportation
84,Rent,2020-05-24,881.5,Home
85,Jacket,2020-05-24,5380.14,Clothing
86,Restaurant,2020-05-16,8330.13,Food
87,Internet,2020-05-10,7701.45,Communication
88,Insurance,2020-05-15,2625.6,Medical
89,Insurance,2020-05-01,4811.35,Medical
90,Tennis,2020-05-17,202.72,Sports
91,Shirt,2020-05-26,6810.17,Clothing
92,Books,2020-05-20,6180.92,Education
93,Suit,2020-05-03,7875.29,Clothing
94,Ride Share,2020-05-19,3205.7,Transportation
95,Visa Fee,2020-05-27,8450.3,Travel
96,Repair,2020-05-19,2088.65,Home
97,Shirt,2020-05-05,9915.9,Clothing
98,Equipment,2020-05-27,6380.88,Sports
99,Travel Insurance,2020-05-08,5806.15,Travel
100,Gym,2020-05-12,9350.31,Sports
101,Delivery,2020-06-01,3700.8,Food
102,Hospital,2020-06-09,619.25,Medical
103,Train,2020-06-25,5563.18,Travel
104,Data Plan,2020-06-22,7481.88,Communication
105,Breakfast,2020-06-14,4806.04,Food
106,Exhibition,2020-06-23,5667.56,Entertainment
107,Toll,2020-06-23,7281.7,Transportation
108,Groceries,2020-06-17,4967.95,Food
109,Train,2020-06-08,4632.71,Travel
110,Restaurant,2020-06-05,9912.75,Food
111,Furniture,2020-06-26,8152.4,Home
112,Training,2020-06-05,5703.42,Education
113,Tips,2020-06-25,219.45,Others
114,Swimming,2020-06-01,4715.6,Sports
115,Nightclub,2020-06-22,4328.93,Entertainment
116,Coffee,2020-06-19,6511.7,Food
117,Hospital,2020-06-05,1264.58,Medical
118,Flight,2020-06-28,4176.12,Travel
119,Theater,2020-06-14,4761.01,Entertainment
120,Amusement Park,2020-06-24,291.89,Entertainment
121,Lecture,2020-06-20,5852.16,Education
122,Fuel,2020-06-19,7140.55,Transportation
123,Hospital,2020-06-11,617.56,Medical
124,Cleaning,2020-06-18,5596.01,Home
125,Vaccine,2020-06-10,9547.64,Medical
126,Luggage,2020-06-09,659.75,Travel
127,Lottery,2020-06-18,4735.72,Others
128,Travel Guide,2020-06-22,4642.33,Travel
129,Roaming,2020-06-05,1179.04,Communication
130,Car Maintenance,2020-06-15,3112.69,Transportation
131,Restaurant,2020-06-19,7893.74,Food
132,Online Course,2020-06-06,8914.27,Education
133,Snacks,2020-06-22,8230.17,Food
134,VPN,2020-06-24,6286.0,Communication
135,Toll,2020-06-21,9721.9,Transportation
136,Internet,2020-06-11,2391.39,Home
137,Doctor Visit,2020-06-03,4896.75,Medical
138,Yoga,2020-06-19,2834.45,Sports
139,Gift,2020-06-11,9592.62,Others
140,Repair,2020-06-05,60.92,Home
141,Movie,2020-06-01,2178.8,Entertainment
142,Seminar,2020-06-21,6015.14,Education
143,Dress,2020-06-21,4365.63,Clothing
144,Storage,2020-06-15,9911.65,Others
145,Security,2020-06-08,3727.71,Home
146,Swimming,2020-06-23,6439.7,Sports
147,Train,2020-06-16,8320.46,Travel
148,Amusement Park,2020-06-04,1610.18,Entertainment
149,Mortgage,2020-06-22,6572.78,Home
150,Hospital,2020-06-03,5499.29,Medical
151,Mobile Recharge,2020-06-18,611.45,Communication
152,Hospital,2020-06-10,7151.18,Medical
153,Eye Exam,2020-06-13,3342.54,Medical
154,Eye Exam,2020-06-25,9679.16,Medical
155,Fuel,2020-06-08,6700.33,Transportation
156,Cleaning,2020-06-19,3968.46,Home
157,Roaming,2020-06-24,5836.82,Communication
158,Equipment,2020-06-12,8322.57,Sports
159,Medicine,2020-06-03,8371.86,Medical
160,Toll,2020-06-21,9279.74,Transportation
161,Scarf,2020-06-16,8676.7,Clothing
162,Pet,2020-06-05,6331.1,Others
163,Swimming,2020-06-27,8259.04,Sports
164,Cleaning,2020-06-19,9664.47,Home
165,VPN,2020-06-05,9762.97,Communication
166,Socks,2020-06-14,3682.99,Clothing
167,Hospital,2020-06-10,2536.52,Medical
168,Delivery,2020-06-23,9526.63,Food
169,Swimming,2020-06-16,7086.58,Sports
170,Doctor Visit,2020-06-08,9221.84,Medical
171,Nightclub,2020-06-11,5090.27,Entertainment
172,Training,2020-06-12,2279.23,Education
173,Football,2020-06-22,1091.9,Sports
174,Luggage,2020-06-01,257.77,Travel
175,Rental Car,2020-06-16,7267.06,Travel
176,Tuition,2020-06-21,630.08,Education
177,Doctor Visit,2020-06-06,1069.07,Medical
178,Mobile Recharge,2020-06-12,6430.22,Communication
179,Nightclub,2020-06-15,1400.35,Entertainment
180,Car Maintenance,2020-06-17,1646.91,Transportation
181,Internet,2020-06-01,1853.53,Home
182,Calling Card,2020-06-11,5670.43,Communication
183,Hat,2020-06-12,6192.74,Clothing
184,Hat,2020-06-14,8371.71,Clothing
185,Dress,2020-06-09,896.44,Clothing
186,Laundry,2020-06-22,2523.22,Others
187,Groceries,2020-06-09,4071.06,Food
188,Toll,2020-06-12,5851.71,Transportation
189,Groceries,2020-06-13,4078.38,Food
190,Shirt,2020-06-14,6076.71,Clothing
191,Basketball,2020-06-20,3151.5,Sports
192,Dinner,2020-06-15,9822.83,Food
193,Rental Car,2020-06-06,9303.84,Travel
194,Gym,2020-06-04,8217.62,Sports
195,Eye Exam,2020-06-27,7736.46,Medical
196,Internet,2020-06-13,9230.53,Home
197,Books,2020-06-26,8505.58,Education
