serialNo,name,date,amount,category
1,Gym,2025-05-31,5246.61,Transportation
2,Bus,2025-05-11,9996.74,Clothing
3,Medicine,2025-05-21,6017.19,Education
4,Phone,2025-05-11,9351.25,Food
5,Bus,2025-05-17,4096.13,Entertainment
6,Bus,2025-05-09,4906.74,Sports
7,Groceries,2025-05-17,3088.16,Clothing
8,Taxi,2025-05-30,5323.84,Home
9,Groceries,2025-05-22,7769.03,Food
10,Medicine,2025-05-11,3390.22,Home
11,Taxi,2025-05-05,9214.11,Food
12,Misc,2025-05-03,2860.77,Others
13,Phone,2025-05-08,3007.72,Travel
14,Bus,2025-05-24,1956.52,Entertainment
15,Medicine,2025-05-25,9446.24,Education
16,Groceries,2025-05-01,4182.85,Education
17,Taxi,2025-05-21,6229.96,Home
18,Bus,2025-05-28,4773.65,Communication
19,Rent,2025-05-26,4864.36,Clothing
20,Misc,2025-05-11,7526.79,Travel
21,Bus,2025-05-27,5347.46,Medical
22,Misc,2025-05-13,4415.94,Travel
23,Misc,2025-05-25,4806.33,Travel
24,Bus,2025-05-09,1776.35,Food
25,Taxi,2025-05-13,3289.5,Entertainment
26,Taxi,2025-05-24,1467.34,Others
27,Groceries,2025-05-25,1446.18,Others
28,Course,2025-05-07,6762.5,Education
29,Taxi,2025-05-13,7397.82,Medical
30,Misc,2025-05-17,3430.14,Education
31,Course,2025-05-16,7216.0,Sports
32,Medicine,2025-05-13,8294.35,Entertainment
33,Groceries,2025-05-03,5242.0,Education
34,Phone,2025-05-23,7518.6,Transportation
35,Groceries,2025-05-23,2765.12,Education
36,Shirt,2025-05-20,1623.78,Travel
37,Movie,2025-05-12,1267.96,Transportation
38,Bus,2025-05-29,1480.97,Sports
39,Rent,2025-05-25,9300.28,Sports
40,Groceries,2025-05-08,1016.85,Education
41,Misc,2025-05-01,6700.68,Medical
42,Rent,2025-05-06,3077.06,Medical
43,Rent,2025-05-28,3515.93,Food
44,Movie,2025-05-11,6361.91,Medical
45,Groceries,2025-05-13,2299.49,Entertainment
46,Misc,2025-05-22,8337.0,Sports
47,Taxi,2025-05-19,7531.86,Sports
48,Phone,2025-05-28,4818.96,Clothing
49,Movie,2025-05-16,3034.15,Communication
50,Shirt,2025-05-27,5735.29,Sports
51,Phone,2025-05-15,3428.42,Entertainment
52,Misc,2025-05-07,5559.73,Travel
53,Phone,2025-05-01,9740.87,Education
54,Course,2025-05-29,8549.77,Medical
55,Bus,2025-05-20,1373.02,Food
56,Course,2025-05-28,4126.07,Travel
57,Shirt,2025-05-12,8078.96,Home
58,Gym,2025-05-15,2873.75,Medical
59,Movie,2025-05-18,185.51,Education
60,Taxi,2025-05-25,5915.29,Education
61,Medicine,2025-05-23,1004.85,Transportation
62,Medicine,2025-05-13,7874.41,Clothing
63,Groceries,2025-05-02,4056.56,Entertainment
64,Course,2025-05-15,9357.68,Entertainment
65,Phone,2025-05-09,9979.65,Clothing
66,Bus,2025-05-08,5921.46,Clothing
67,Phone,2025-05-12,5165.91,Education
68,Taxi,2025-05-16,9846.94,Food
69,Bus,2025-05-05,4944.45,Home
70,Bus,2025-05-31,693.95,Transportation
71,Gym,2025-05-21,5641.8,Clothing
72,Shirt,2025-05-30,1513.41,Clothing
73,Groceries,2025-05-15,2851.05,Food
74,Shirt,2025-05-26,7372.81,Communication
75,Groceries,2025-05-24,7361.36,Food
76,Phone,2025-05-12,7443.63,Sports
77,Medicine,2025-05-15,440.81,Communication
78,Groceries,2025-05-16,1552.93,Clothing
79,Rent,2025-05-12,8591.94,Medical
80,Movie,2025-05-11,6361.86,Clothing
81,Gym,2025-05-03,3924.26,Clothing
82,Movie,2025-05-24,2588.53,Education
83,Course,2025-05-28,9927.08,Home
84,Gym,2025-05-13,3592.77,Education
85,Phone,2025-05-25,3879.99,Home
86,Taxi,2025-05-03,113.62,Transportation
87,Phone,2025-05-20,8614.38,Communication
88,Medicine,2025-05-30,1837.43,Education
89,Gym,2025-05-11,4718.03,Communication
90,Medicine,2025-05-31,8489.79,Medical
91,Rent,2025-05-16,9519.82,Food
92,Taxi,2025-05-28,6761.21,Medical
93,Phone,2025-05-21,5741.49,Home
94,Rent,2025-05-10,7938.03,Clothing
95,Medicine,2025-05-21,2265.01,Travel
96,Shirt,2025-05-03,2965.86,Travel
97,Course,2025-05-23,6075.48,Others
98,Course,2025-05-27,2897.55,Others
99,Taxi,2025-05-14,1900.88,Clothing
100,Course,2025-05-22,6337.39,Communication
101,Taxi,2025-05-04,20.00,Transportation
