serialNo,name,date,amount,category
1,Dividend,2025-05-08,59785.22,Investment
2,Paycheck,2025-05-07,87931.51,Investment
3,Paycheck,2025-05-13,56801.34,Salary
4,Bonus,2025-05-20,58362.21,Salary
5,Dividend,2025-05-06,97548.66,Salary
6,Interest,2025-05-31,64228.03,Salary
7,Bonus,2025-05-14,43871.89,Investment
8,Redpocket,2025-05-08,2000.00,Investment
9,Paycheck,2025-05-05,58382.21,Salary
10,Interest,2025-05-24,46642.20,Salary
11,Stock,2025-05-05,22287.00,Salary
12,Dividend,2025-05-23,48796.30,Investment
13,Bonus,2025-05-02,45604.08,Investment
14,Paycheck,2025-05-16,34000.97,Salary
15,Bonus,2025-05-09,16173.88,Investment
16,Stock,2025-05-03,83686.06,Salary
17,Interest,2025-05-10,62471.61,Investment
18,Dividend,2025-05-25,16834.82,Investment
19,Fund,2025-05-07,92646.16,Investment
